Author,Title,Description
Jin,Позитив на фондовых рынках должен помочь BTC,"Финансовые рынки Азии демонстрировали уверенный рост в пятницу, реагируя на позитивные экономические сигналы в регионе. Значительное снижение инфляции в Токио до 1,8% с предыдущих 2,2% и ожидание...Читать дальше"
Alexandra Coșlea,"Elon Musk, promotor al mesajelor anti-imigrație, și-a construit imperiul muncind ilegal în SUA în anii ’90","Miliardarul Elon Musk, născut în Africa de Sud, a lucrat ilegal în Statele Unite ale Americii pe parcursul unei scurte perioade în anii 1990, în timp ce își construia prima companie, potrivit The Washington Post,…"
Ronaldo Marquez,Michael Saylor Urges Microsoft To Consider Bitcoin As Path To Next Trillion-Dollar Growth,"Following Microsoft’s recent proposal to shareholders to consider investing in Bitcoin, Michael Saylor, co-founder of MicroStrategy and a prominent BTC advocate, publicly encouraged Microsoft CEO Satya Nadella to embrace the largest cryptocurrency as a means …"
MARK SCOLFORO Associated Press,Elon Musk says the real threat to democracy is the people who accuse Trump of endangering it,"Tech mogul Elon Musk is playing down the Jan. 6, 2021 attack on the U.S. Capitol"
,"Elon Musk er for alvor blevet en del af valgkampen. Nu sås der tvivl, om han altid har arbejdet lovligt i USA","Elon Musk, som er født i Sydafrika, arbejdede i 1990’erne uden korrekt arbejdstilladelse i USA, skriver avis."
AP,Elon Musk says the real threat to democracy is the people who accuse Trump of endangering it,"Elon Musk, at a town hall in Lancaster, Pennsylvania, urged supporters to vote early for Donald Trump while downplaying the Jan. 6 Capitol attack. Musk criticized mail ballots, raised concerns about democracy threats, and promised $1 million daily giveaways t…"
MARK SCOLFORO Associated Press,Elon Musk says the real threat to democracy is the people who accuse Trump of endangering it,"Tech mogul Elon Musk is playing down the Jan. 6, 2021 attack on the U.S. Capitol"
Bogdan Enache,Relația lui Elon Musk cu Vladimir Putin reînvie o tradiție americană îngrijorătoare. „Este el prea mare pentru a eșua?”,"În trecut, magnații au avut probleme pentru că și-au condus propria politică externă, diferită de cea oficială, a statului, iar Elon Musk tocmai s-a propulsat într-o companie istorică tulburătoare, scrie Politico, într-un material care pleacă de la articolul …"
Ana Petrescu,"Elon Musk, cunoscut pentru opiniile sale împotriva imigrației, a lucrat ilegal în SUA după ce a renunțat la școală","Elon Musk a lucrat pentru scurt timp ilegal în SUA, după ce a abandonat un program de studii postuniversitare în California, lucru care contrastează cu opiniile sale antiimigrație, scrie The Guardian."
Libor Foltýnek,Nejlepší chytré zásuvky do 500 Kč (2024). Od IKEA přes LIDL až po Teslu,"Chytrá zásuvka je spolu s chytrou žárovkou nejzákladnější komponentou chytré domácnosti. Umožní vám kontrolovat zapínání spotřebičů a ty lepší umí i měřit spotřebu elektrické energie. Kromě toho doprovodná aplikace často umožní různé plány a makra, například …"
,Twee jaar X: hoe heeft Elon Musk Twitter veranderd? Bekende (ex)-twitteraars delen hun mening,Vandaag is het exact 2 jaar geleden dat techgigant Elon Musk de socialenetwerksite Twitter overnam — nu X. Sindsdien verlieten heel wat gebruikers het online medium. Onder hen juriste Catherine Van de Heyning; zij verwijderde onlangs haar account. Kerkjurist …
Steven Carroll,Knock-on effect: English ex-pat follows mother’s example with door-to-door campaign for Democrats,"Fifty years after canvassing for his mother in Cheshire, Hughie Glidewell’s political activism has sprung back to life"
MARK SCOLFORO Associated Press,Elon Musk says the real threat to democracy is the people who accuse Trump of endangering it,"Tech mogul Elon Musk is playing down the Jan. 6, 2021 attack on the U.S. Capitol"
روجا تحریری نوری,ویدئویی از مهارت یک ربات در استفاده از ماشین ظرفشویی,ویدئوی جدیدی که از ربات شرکت «نئودیوید» منتشر شده است، مهارت استثنایی آن را در استفاده از ماشین ظرفشویی به نمایش می‌گذارد.
JILL COLVIN Associated Press,Trump veers away from swing states for his Madison Square Garden moment,Donald Trump is finally getting his Madison Square Garden moment
"Brooke Crothers, Contributor, 
 Brooke Crothers, Contributor
 https://www.forbes.com/sites/brookecrothers/","Tesla Cybertruck Move Over, Enter The ‘Extreme’ 2025 GMC Hummer EV SUV: Review",A brief first-take review of the 2025 Hummer EV 3X SUV with the available Extreme Off-Road package.
Rémi Jacob,"« Dans l'ombre », la présidentielle côté coulisses","Adapté d’un roman d’Édouard Philippe et Gilles Boyer, le thriller politique « Dans l’ombre » offre une plongée documentée dans l’arrière-boutique de la vie politique."
The Associated Press,Trump’s Madison Square Garden event features crude and racist insults,"Donald Trump hosted a rally featuring crude and racist insults at New York’s Madison Square Garden Sunday, turning what his campaign had dubbed as the event where he would deliver his closing message into an illustration of what turns off his critics."
JILL COLVIN and MICHELLE L. PRICE,Trump's Madison Square Garden event turns into a rally with crude and racist insults,"Donald Trump hosted a rally featuring crude and racist insults at New York's Madison Square Garden on Sunday, turning what his campaign had advertised as the..."
El Confidencial,Efemérides del 27 de octubre: ¿Qué pasó un día como hoy?,Descubre todas las curiosidades que han ido pasando a lo largo de la historia
Zachary Shahan,"20% of US Rooftop Solar Systems Are Sunrun Systems, 45% of New Battery Installations Are Sunrun","Sunrun, the largest rooftop solar company in the United States, recently hit a big milestone — one million customers. We recently sat down with Chris Rauscher, Head of Grid Services & Virtual Power Plants at Sunrun, to discuss this and related matters. Listen…"
,Washington Post: Ακόμη και ο Μασκ ήταν για ένα διάστημα παράνομος μετανάστης στις ΗΠΑ,Δημοσίευμα της αμερικανικής εφημερίδας αναφέρει ότι ο επικεφαλής της Tesla και του X είχε εργαστεί χωρίς την κατάλληλη άδεια | Έλον Μασκ | Μετανάστες | Κόσμος
Mark Stone,Was crowd at Musk's 'town hall' only there for the payday? That's the million-dollar question,The world's richest man was late for his own town hall.
Agence France-Presse,Young Blue-Collar Workers: Key US Voters Who Will Decide Presidential Polls,"Young blue-collar workers are being courted in a tight US presidential election that is forcing voters to weigh competing claims on immigration, inflation and other hot-button issues."
Ştefan Lică,Mașinile electrice care merită fiecare bănuț. Recomandările experților pentru anul care vine,"Mașinile electrice sunt la căutare în SUA și ar putea deveni o opțiune și pentru europeni, chiar dacă industria auto din Uniunea Europeană se află în anaghie. De altfel, într-un top al recomandărilor, o singură marcă din 7 este din Europa, dar are patroni chi…"
,Biden says Elon Musk was an 'illegal worker' when he began U.S. career (Lora Kolodny/CNBC),"Lora Kolodny / CNBC:
Biden says Elon Musk was an ‘illegal worker’ when he began U.S. career … President Joe Biden called out Tesla and SpaceX CEO Elon Musk, now a Republican megadonor and Trump campaign surrogate, for hypocrisy on immigration on Saturday, say…"
Manjiri Chitre,"Elon Musk Worked ""Illegally"" In US At Start Of His Career: Report","Elon Musk, a staunch supporter of Donald Trump who has for years portrayed migrants as invaders and criminals, worked &quot;illegally&quot; in the United States during the start of his career."
M. Fiter | Agencias,Musk trabajó de manera ilegal en EEUU al inicio de su carrera: tendría que haber salido del país según las leyes,"El empresario no tenía el derecho legal de trabajar mientras construía Zip2, la empresa que vendió en 1999, según 'The Washington Post'. 
Más información: Musk ignora los Washington Postavisos de la Justicia: sigue otorgando premios de un millón de dólares a …"
Taegan Goddard,Biden Says Elon Musk Was an ‘Illegal Worker’,"President Biden said Tesla and SpaceX CEO Elon Musk, now a Republican megadonor, launched his long career in the U.S. as an “illegal worker,” CNBC reports."
,[Removed],[Removed]
news.google.com,"As Tesla CEO Elon Musk continues to bash California and stump for Trump, West Coasters are getting revenge","As Tesla CEO Elon Musk continues to bash California and stump for Trump, West Coasters are getting revenge Fortune
Elon Musk has a warning about California POLITICO"
Brian Wang,OpenAI Head of AGI Policy Research Leaves OpenAI,"Miles Brundage, Head of Policy Research at OpenAI, has left OpenAI. Miles was at OpenAI for 6 years and 3 months advising OpenAI executives and the OpenAI board on AGI readiness. Nextbigfuture covers what Miles thinks is needed for AGI readiness. I agree the …"
Deutsche Welle,"Elon Musk trabajó ilegalmente en EE.UU., según investigación","The Washington Post reveló que el magnate, que apoya la retórica antiinmigrates de Donald Trump, laboró sin poseer estatus legal, tras llegar como estudiante al país por medio de un posgrado en el que nunca se matriculó."
news.google.com,Waymo secures $5.6 billion in new funding before expanding robotaxis to new cities in 2025,"Waymo secures $5.6 billion in new funding before expanding robotaxis to new cities in 2025 Electrek.co
Alphabet's self-driving unit Waymo closes $5.6 billion funding round as robotaxi race heats up in the U.S. CNBC
Alphabet’s Waymo Raises More Money to Compet…"
,Biden says Elon Musk was an 'illegal worker' when he began U.S. career,Elon Musk has become a regular campaign surrogate for Donald Trump in the presidential race against Vice President Kamala Harris.
Staff Writers And Afp,‘Cowardice’: Jeff Bezos blocks Washington Post from endorsing Kamala Harris,"The influential Washington Post newspaper, owned by Amazon billionaire Jeff Bezos, has controversially announced that it will endorse neither Democrat Kamala Harris nor Republican Donald Trump in the US presidential election."
AP,Musk ‘traiciona’ a Trump: ¿De qué habla en sus llamadas telefónicas con Putin?,Musk  es ahora una voz destacada en la derecha estadounidense.
Reuters,Washington Post reports Elon Musk briefly worked illegally in US in 1990s,Washington Post reports Elon Musk briefly worked illegally in US in 1990s
S*,"Il meglio: Fantascienza.com, il meglio della settimana di Mysteria","Le novità per Star Trek, l'arrivo di Dune: Prophecy, il trailer di Scissione 2, tanti libri interessanti e Mysteria a Brescia nella settimana di Fantascienza.com
Ottobre è un mese pieno di eventi. Si è conclusa due settimane fa la decima edizione di Stranimon…"
The Star Online,Washington Post reports Elon Musk briefly worked illegally in US in 1990s,WASHINGTON (Reuters) - The Washington Post reported on Saturday that South African-born billionaire businessman Elon Musk worked illegally in the United States during a brief period in the 1990s while building a startup company. Read full story
Разгон М,"Акции Tesla резко подскочили после отчета о прибыли, превзошедшей ожидания","В среду Tesla отчиталась о прибыли за третий квартал, после чего провела телефонный разговор с инвесторами, отличительной чертой которого стал оптимистичный настрой генерального директора Илона Маска. В четверг акции выросли почти на 22%, а в пятницу их рост …"
,La ciudad de EE.UU. donde la destrucción por el huracán Helene podría cambiar el resultado de la elección,"En Asheville, Carolina del Norte, los residentes todavía conviven con el trauma de la catástrofe, que dejó 242 muertos en todo el país; las críticas al organismo que gestiona las emergencias y la desinformación influyen en el voto"
Breanne Deppisch,Biden claps back at Trump in fiery Pittsburgh speech: 'He's a loser',"'He's a loser,' Biden said of his predecessor, telling union groups in Pittsburgh that Trump would gladly do away with their healthcare and pensions if reelected."
Verdaderofalso,"El dardo contra Elon Musk que los propietarios de algunos coches Tesla han puesto en sus coches: ""Me lo compré antes de que se volviera loco""",Algunos usuarios de Tesla no quieren que se les relacione con el magnate. El multimillonario ha prometido llevar a cabo un sorteo electoral de un millón de dólares (926.226 euros) a todas las personas que firmen una petición a favor de la libertad y el derech…
Ahmet Safa,Dünya’nın manyetik alanından 800 bin kat daha güçlü mıknatıs ürettiler!,"Dünya'nın manyetik alanından 800 bin kat daha güçlü! Çin, 42.02 tesla gücünde ultra güçlü mıknatıs üretti.

Dünya’nın manyetik alanından 800 bin kat daha güçlü mıknatıs ürettiler!"
Zayed Rehman,Tesla Cybertruck Becomes The Third Best-Selling EV In The US,"The Tesla Cybertruck is now the third best-selling EV in the US. Here are all the details on this.
The post Tesla Cybertruck Becomes The Third Best-Selling EV In The US first appeared on Redmond Pie."
David Ingram,Elon Musk’s X is boosting election conspiracy theories with AI-powered trending topics,The misinformation boosted by X’s AI model Grok included conspiracy theories about voter fraud and unsubstantiated smears about Vice President Kamala Harris.
,Trump kiest podcastgesprek van drie uur in plaats van 'ouderwets' tv-interview,"Veel lof voor de manier waarop de Chinese president Xi Jinping ""met ijzeren vuist 1,4 miljard mensen controleert"". En alleen een ""slimme president"" kan omgaan met Rusland, doelend op zichzelf. Het zijn twee van de tientallen uitspraken die presidentskandidaat…"
bringatrailer,2024 Tesla Cybertruck Cyberbeast AWD Foundation Series,"This 2024 Tesla Cybertruck is a Cyberbeast model with a tri-motor AWD powertrain, and it has Foundation Series trim that included laser-etched badging, white interior accents, and Full Self-Driving capability. It also features stainless-steel bodywork, variab…"
Skye Jacobs,Elon Musk admits full self-driving likely won't be possible on older Tesla vehicles,"During a conference call following Tesla's Q3 2024 financial results, CEO Elon Musk acknowledged that the company's older self-driving hardware may not achieve full autonomy. The admission comes after years of promises that all Tesla vehicles would soon be ab…"
Redacción AN / ARF,Elon Musk trabajó ilegalmente en EU al inicio de su carrera: Washington Post,"Musk no tenía el derecho legal de trabajar mientras construía Zip2, la empresa que vendió por unos 300 millones de dólares en 1999."
Milenio Entretenimiento,Así puedes crear 'Calaveritas literarias' con ayuda de Inteligencia Artificial,"Crear calaveritas literarias ya no es un desafío gracias a la inteligencia artificial. Esta herramienta facilita el proceso de escritura, proporcionando sugerencias de versos y ayudándonos a encontrar las palabras justas para nuestros poemas humorísticos.Aquí…"
Nicolás Antiporovich,¿Qué pasará si Microsoft invierte en bitcoin? Esto opina la comunidad,"Hay grandes expectativas por la votación que tendrá lugar el 10 de diciembre.
Leer más"
EFE,"Elon Musk trabajó ilegalmente en Estados Unidos al inicio de su carrera, según 'The Washington Post'","Según el diario estadounidense, el dueño de X no tenía el derecho legal de trabajar mientras construía Zip2, la empresa que vendió por unos 300 millones de dólares en 1999."
"Robert Barone, Contributor, 
 Robert Barone, Contributor
 https://www.forbes.com/sites/greatspeculations/people/robertbarone/",Incoming Data Not Supportive Of The “Soft-Landing” View,It was a down week for most of the major indexes with only the Nasdaq managing to keep its head slightly above water.
Verdaderofalso,"BYD asegura que está lista para adelantar a Tesla con su tecnología, en noviembre llegarán novedades","El dominio de la tecnología de conducción autónoma enfrenta a las marcas en todo el mundo. BYD acaba de asegurar que tendrá su propio sistema operativo antes de finales de año.etiquetas: byd, tesla, coche eléctrico, conducción autónoma» noticia original (www.…"
Юрий Лысенко,В США обвинили Маска в незаконном пребывании в стране,"Основатель компаний Tesla и SpaceX Илон Маск, известный своей критикой миграционной политики Штатов, сам начал свой бизнес в США в обход закона. Об этом говорится в материале издания Washington Post.Читать далее..."
Agencia EFE,'The Washington Post' revela que Elon Musk trabajó ilegalmente en EU al inicio de su carrera,"Elon Musk, propietario de SpaceX, Tesla y X, trabajó de forma ilegal en Estados Unidos al inicio de su carrera empresarial tras abandonar un programa de estudios de posgrado en California, según antiguos socios, documentos judiciales y archivos empresariales …"
Paweł Matys,"Kradł perfumy na lotnisku. Wybuchł skandal, gdy ujawniono jego tożsamość","Do wielkiego skandalu doszło w świecie koszykówki. Wszystko za sprawą haniebnego zachowania sędziego ze Słowenii - Mateja Boltauzera. - Ten facet kradnie od lat. Euroliga ma wielu świetnych sędziów, ale ten facet był najgorszy - skomentował koszykarz Matt Jan…"
Stephen Rivers,Dealers Say Decision for Scout to Skip Dealers and Sell Directly to Consumers Is 'Misguided',Dealers hoping to stack markups on these new off-roaders are surely unhappy.
Andrea Cadenas de Llano Sosa,"Elon Musk trabajó de manera ilegal en EEUU al principio de su carrera empresarial, según el 'Washington Post'","<![CDATA[<p>El empresario sudafricano Elon Musk, quien ya ha afirmado que apoyará a Trump en las próximas elecciones presidenciales de Estados Unidos, trabajó de manera ilegal en Estados Unidos al inicio de su carrera, según ha podido informar una investigaci…"
Ejona Gjonaj,Tesla vom Thron gestoßen: Das ist jetzt das beliebteste E-Auto der Deutschen,"Bei den beliebtesten deutschen E-Autos steht Tesla nicht mehr an erster Stelle. Wer den US-amerikanischen Autohersteller überholt hat, zeigen wir hier."
RealClearWire,Fans turn out for new superstar of politics: Elon Musk,"Conservatives see 'one bright spot' as their adversaries are 'everywhere, from colleges to corporations'"
,Togg'dan Cumhuriyetimizin 101. yılına özel şarj hediyesi,"Tesla'nın ardından Togg da elektrikli araç sürücülerine şarj müjdesini verdi. TOGG, 29 Ekim Cumhuriyet Bayramı'mıza özel 101kWs şarj hediye edeceklerini duyurdu."
David Corn,Elon Musk’s $100 Million-Plus Gift to Trump,"Billionaire-troll Elon Musk is dumping untold millions of his $240 billion fortune into helping Donald Trump regain the White House. In the final sprint of the campaign, he’s doling out (perhaps illegally) $1 million checks to registered voters in swing state…"
Tim Murphy,Elon Musk Wants to Deport People Living in the United States Illegally—Just Like He Once Did,"Elon Musk, the billionaire founder of Space X and Tesla, and the world’s richest man, is convinced that immigrants who have lived and worked in the United States without legal authorization are destabilizing American democracy. It sounds like another conspira…"
businessinsider.com,Tesla is offering a Cybertruck accessory that it can't fully install,"The Tesla Cybertruck started deliveries last year.
JULIEN DE ROSA/AFP via Getty Images
Some Cybertruck owners seem to be getting their hands on the light bar accessory — but there's a catch.
Tesla employees are not legally allowed to install the required elec…"
aol.com,"Leading U.S. Official On AI Policy Claims Tesla AI 'Recognizes Everybody As Tall White Men,' Says She'll Withdraw Her Money If Not Changed","Kathi Vidal, the current director of the U.S. Patent and Trademark Office and an engineer who worked with AI in its earliest stages, made an eye-catching remark during the recent Fortune Most Powerful Women Summit about the shortcomings of Tesla’s AI.
In an o…"
Natalie Venegas,Mark Cuban Pours Cold Water on Idea Donald Trump Is a 'Great Businessman',"""If the job of the presidency was investing in real estate, picking curtains and fixtures, he'd probably be the most qualified,"" Cuban said."
Tom Carter,Tesla is offering a Cybertruck accessory that it can't fully install,"The ""Cyberbeast"" version of Tesla's truck comes with an off-road light bar, an LED light that sits above the windshield."
Mark Moore,Democratic Senators Urge Justice Department To Probe Elon Musk's $1 Million Election Lottery,The DOJ has warned Musk that it's illegal to pay people to register to vote
news@ixbt.com (Darth Sahara),"Tesla отчиталась о рекордной прибыли, но инвесторы всё ещё имеют вопросы","Акции Tesla резко подскочили после того, как компания отчиталась о прибыли, превзошедшей ожидания, и предоставила инвесторам ряд позитивно воспринятых новостей. Однако у инвесторов по-прежнему есть несколько вопросов. В среду Tesla отчиталась о прибыли за тре…"
Tom Boggioni,"'Oh, come on': CNN conservative put on the spot after defending Musk's secret Putin talks","Reacting to a Wall Street Journal report that billionaire Elon Musk has been having secret talks with Russian President Vladimir Putin, conservative Reihan Salam attempted to downplay the idea that anything nefarious has been going on which led to him being r…"
,[Removed],[Removed]
lucasgmarins,"Trump pede fim do imposto de renda, elogia Elon Musk e fala sobre óvnis em podcast","O republicano participou do podcast The Joe Rogan Experience, um dos mais ouvidos do mundo
The post Trump pede fim do imposto de renda, elogia Elon Musk e fala sobre óvnis em podcast appeared first on InfoMoney."
news.google.com,"Elon Musk Tweet About a Tesla (TSLA) Union Wasn’t a Threat, Court Rules","Elon Musk Tweet About a Tesla (TSLA) Union Wasn’t a Threat, Court Rules Bloomberg
Musk Wins Appeal Over Tweet He Had to Delete About Union Push The New York Times
NLRB can’t tell Musk to delete tweet Courthouse News Service
US labor board wrongly ordered Tesl…"
Nick Godt,"Robotaxi aside, a $25,000 EV would be ‘pointless’, Tesla CEO says","Elon Musk says that a regular $25,000 Tesla model would be “pointless”."
Roland Lindner,Elon Musk: Trumps eifrigster Wahlkämpfer,Der Multimilliardär Elon Musk mischt auf beispiellose Weise im Rennen um das amerikanische Präsidentenamt mit. Trump stellt ihm dafür einen Regierungsposten in Aussicht. Was daraus folgt.
MarketBeat News,Tesla (NASDAQ:TSLA) Stock Rating Reaffirmed by Wedbush,"Tesla (NASDAQ:TSLA – Get Free Report)‘s stock had its “outperform” rating reiterated by stock analysts at Wedbush in a research report issued to clients and investors on Thursday, Benzinga reports. They currently have a $300.00 price target on the electric ve…"
"Bill Allison, Bloomberg","Musk gives at least $132 million to elect Trump, GOP allies","That level of giving has vaulted him into the upper echelon of political donors, making Musk one of the most prolific contributors of the entire 2024 cycle."
,Nasa teme vazamento de segredos devido à suposta ligação entre Musk e Putin,"Diretor da agência espacial americana, Bill Nelson disse não saber se a relação entre o bilionário e o presidente da Rússia procede, mas considera fundamental investigá-la"
Александра Камынина,WP: Маск начинал работать в США нелегально,"Основатель компании SpaceX при этом выступает против нелегальной миграции, отметила газета."
